ID,Comment Text,Translated
1,"이진호 처벌 국회청원 <br><br><a href=""https://petitions.assembly.go.kr/proceed/registered/2D5E1FDB9A810FB0E064B49691C6967B"">https://petitions.assembly.go.kr/proceed/registered/2D5E1FDB9A810FB0E064B49691C6967B</a> <br><br>반복되는 연예기자 유튜버 이진호에 의한 피해를 막는데 동참해주세요.<br><br><a href=""http://www.youtube.com/results?search_query=%23%EA%B0%80%EB%A1%9C%EC%84%B8%EB%A1%9C%EC%97%B0%EA%B5%AC%EC%86%8C"">#가로세로연구소</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B0%80%EC%84%B8%EC%97%B0"">#가세연</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B5%AD%ED%9A%8C%EC%B2%AD%EC%9B%90"">#국회청원</a> <a href=""http://www.youtube.com/results?search_query=%23%EC%B0%B8%EC%97%AC%EB%B6%80%ED%83%81"">#참여부탁</a>","Kiến nghị Quốc hội trừng phạt Lee Jin-ho

<a href=""https://petitions.assembly.go.kr/proceed/registered/2D5E1FDB9A810FB0E064B49691C6967B"">https://petitions.assembly.go.kr/proceed/registered/2D5E1FDB9A810FB0E064B49691C6967B</a>

Hãy cùng nhau ngăn chặn những thiệt hại gây ra bởi YouTuber kiêm phóng viên giải trí Lee Jin-ho, người liên tục gây ra những hành vi sai trái.

<a href=""http://www.youtube.com/results?search_query=%23%EA%B0%80%EB%A1%9C%EC%84%B8%EB%A1%9C%EC%97%B0%EA%B5%AC%EC%86%8C"">#ViệnNghiênCứuGaroSero</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B0%80%EC%84%B8%EC%97%B0"">#Gaseyeon</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B5%AD%ED%9A%8C%EC%B2%AD%EC%9B%90"">#KiếnNghịQuốcHội</a> <a href=""http://www.youtube.com/results?search_query=%23%EC%B0%B8%EC%97%AC%EB%B6%80%ED%83%81"">#XinHãyThamGia</a>
"
2,📌 청원 쉽고 빠르게 하는 방법 = 회원등록 하지 않고 [비회원 인증하기] 누른 후 젤 아래 빨간색 누르지 말고 [문자(SMS로 인증하기] 누르셔서 하면 빠릅니다.,"📌 Cách thức kiến nghị nhanh chóng và dễ dàng = Không cần đăng ký thành viên, sau khi nhấn vào [Xác thực không phải thành viên], đừng nhấn vào nút màu đỏ dưới cùng mà hãy nhấn vào [Xác thực bằng tin nhắn (SMS)], sẽ nhanh hơn đấy.
"
3,"분탕 댓글 차단하다 잘못 오인해서 차단된 가세연 팬분들, 가팬클 가세연 공식 팬카페에 오셔서, 공지사항에 [차단 관련 공지]에 말해주세요 <a href=""https://m.cafe.naver.com/hoverlabfan/2717"">https://m.cafe.naver.com/hoverlabfan/2717</a>","Những người hâm mộ Gaseyeon bị chặn nhầm do chặn các bình luận gây rối, hãy đến fan cafe chính thức của Gaseyeon, Gafancl và cho chúng tôi biết trong thông báo [Thông báo liên quan đến chặn] nhé. <a href=""https://m.cafe.naver.com/hoverlabfan/2717"">https://m.cafe.naver.com/hoverlabfan/2717</a>
"
4,동의합니다 누름,"Đồng ý, đã nhấn.
"
5,완,"Hoàn thành.
"
6,옷보니 전에 뜬 볼부비 부비 사진이랑 똑같네요 그때가 김새론 10대때 사진이라는데 볼두 부비부비 하고 미성년자랑 뽀뽀도 하고 굿데이 보고 호감이였는데... 에휴 광고취소부터 위약금 달게 받아야지 뭐,"Nhìn quần áo thì giống với mấy tấm ảnh cọ má cọ má rần rần trước đây. Nghe nói hồi đó Kim Sae Ron mới mười mấy tuổi, còn cọ má rồi hôn hít với cả trẻ vị thành niên nữa. Lúc xem Good Day thấy quý mến vậy mà... Haizzz, thôi thì hủy quảng cáo rồi nhận tiền phạt hợp đồng cho đáng đời đi.
"
7,"1. 탄핵반대를 어떤 이유로 외치는지 모르겠지만, 민주당에서 대통령이 나와서 지금 처럼 계엄선포하고 가세연 계신분들 체포 구금한다고 한다면 그때도 정당한 계엄이라고 하시고 구금 당하시겠나요?<br>2. 말은 좀 똑바로 합시다. 탄핵 29한거 맞는데, 거부는 몇번을 했나요? 한쪽만 무엇을 했다라고 하기 창피하지 않으신가요? <br>3. 입법폭주를 했는지 안했는지는 모르겠지만 그렇게 하라고 국민이 만들어준 것입니다. 지금 국민을 욕하는 것인가요? 거부하고 본인의 마음대로 한것은 행정독재 아닌가요? 입법독재는 잘못된것, 행정독재는 잘하는것 이런 논리인가요?<br>4. 음난카페인것인가요? 카페에 음란물이 있는것인가요? <br>5. 김수현, 김새롬이 언제까지 연인관계였던가요? 그 내용은 없네요? 사자훼손이란것에 대해서 잘 모르시는거 같은데 본 방송에서 말한것과 명예 훼손은 관계가 없는거 같군요.<br>6. 사귄다 = 성행위, 본 방송에서는 이렇게 인지하는것 같은데, 성행위에 대한  사실은 전혀 없군요... <br>교제가 불법은 아니지 않나요? 뽀뽀와 키스도 구별 못하나요? 아이고... 애기들 귀여워서 뽀뽀하면 처벌 받아야 겠네요? <br>마지막으로 돈을 얼마나 벌고 싶어 이런지는 모르겠는데...<br>이런 쓰레기 방송하면서 스스로 죄책감은 안드시나요?","1. Tôi không hiểu tại sao các người lại phản đối luận tội. Nếu đảng Dân chủ lên nắm quyền và ban bố thiết quân luật, bắt giữ và giam cầm những người như bên Gaseyeon, thì lúc đó các người cũng sẽ nói đó là thiết quân luật chính đáng và chấp nhận bị giam cầm à?
2. Ăn nói cho phải phép đi. Đúng là đã thông qua luận tội 29 lần, nhưng đã bác bỏ bao nhiêu lần? Chỉ nói mỗi một bên đã làm gì đó thì không thấy xấu hổ à?
3. Tôi không biết có lạm quyền lập pháp hay không, nhưng đó là do người dân tạo ra. Bây giờ là đang chửi người dân à? Việc bác bỏ và làm theo ý mình chẳng phải là độc tài hành chính à? Độc tài lập pháp là sai, độc tài hành chính là đúng, cái lý lẽ này à?
4. Có phải là quán cafe khiêu dâm không? Hay là có nội dung khiêu dâm trong quán cafe?
5. Kim Soo-hyun và Kim Sae-rom hẹn hò đến khi nào vậy? Không có thông tin đó à? Hình như các người không hiểu rõ về tội phỉ báng người chết thì phải. Những gì đã nói trên chương trình này không liên quan gì đến tội phỉ báng danh dự cả.
6. Hẹn hò = quan hệ tình dục, có vẻ như chương trình này đang nhận thức như vậy, nhưng hoàn toàn không có sự thật nào về quan hệ tình dục cả...

Giao du đâu phải là bất hợp pháp? Đến hôn và hôn môi cũng không phân biệt được à? Ôi trời... Nếu đáng yêu mà hôn em bé thì phải bị trừng phạt à?

Cuối cùng, tôi không biết các người muốn kiếm bao nhiêu tiền nữa...

Làm cái loại chương trình rác rưởi này, các người không thấy tội lỗi à?
"
8,에이 드러라 나쁜놈이네,"Ôi trời ơi, đồ tồi tệ.
"
9,가세연 나쁜사람인줄알았는데 거대권력 백종원 김수현을 고발하는거 보고 다시보게 됐습니다,"Tôi đã từng nghĩ Gaseyeon là người xấu, nhưng sau khi thấy họ tố cáo Baek Jong-won và Kim Soo-hyun, những người có quyền lực lớn, tôi đã phải nhìn nhận lại.
"
10,조선시대 왕도 중학생이랑 사귀진 않았을듯,"Chắc hẳn là vua chúa thời Joseon không hẹn hò với học sinh cấp hai đâu nhỉ.
"
