ID,Token Count,Comment Text,Label
0,19,"Một ông 30 tuổi yêu một em_gái vị_thành_niên mà các bạn cũng bênh được , tài thật .",Không ủng hộ
1,20,"Thăng_tiến hay không thì chưa biết , nhưng hiện_tại thì đền hợp_đồng là chắc_chắn rồi đó .",Không ủng hộ
2,9,Hết bênh được anh Sulli mới đăng status kìa .,Không ủng hộ
3,7,khó khôi_phục duyên người qua đường,Trung lập
4,33,"trước có 1 video tarot nói Kim_Soo_Hyun có khả_năng thắng kiện cao và sự_nghiệp sẽ thăng_tiến , tưởng bốc bừa mà giờ nó cũng đúng thật ba",Ủng hộ
5,16,"Rồi phim mong_chờ bị đình_chỉ , bực thật , đúng là sao quả tạ rơi xuống anh .",Không ủng hộ
6,7,Là ảnh không sai được ạ ?,Trung lập
7,32,"Không tăng_tiến được đâu , tôi nói thật đấy . Idol mà có quả drama chấn_động như thế_này thì chỉ có giảm đi thôi , còn lộ hẹn_hò với Kim_Sae_Ron nữa chứ .",Không ủng hộ
8,7,Ngôi_sao thì lúc_nào cũng sáng .,Không liên quan
9,6,Tưởng một đống cậu vàng .,Không liên quan
10,9,Biết ngay mà tôi vẫn tin anh tôi liêm_khiết .,Ủng hộ
11,17,"Không biết thế_nào nữa , thấy bài báo bên Hàn phân_tích mà lo cho anh quá .",Trung lập
12,7,Team luôn tin anh Liêm từ đầu .,Ủng hộ
13,18,Tự_nhiên không phải fan xong giờ hiện nhiều quá làm tôi quan_tâm đến Kim_Soo_Hyun .,Trung lập
14,8,Người có khả_năng lọc fan thành_công nhất K-biz,Không ủng hộ
15,6,Tao tiếc couple của tao thôi .,Không ủng hộ
16,28,"Dù đúng dù sai , người đề_nghị hợp_đồng vẫn là ông ấy . Còn cộng_đồng mạng đúng thì xin_lỗi là xong , còn sai thì chửi tiếp .",Trung lập
17,4,Team U30 này .,Không liên quan
18,21,"Không uổng công tôi bình_luận chửi lộn mấy nay trên phở bò , Bảnh chả làm gì sai cả .",Ủng hộ
19,15,"Bạn gái cũ lấy chồng rồi còn bắt chịu trách_nhiệm gia_đình , sợ thật .",Ủng hộ
20,14,"Là lọc fan thì_có , mình phe Kim_Soo_Hyun ngay từ đầu .",Ủng hộ
21,8,Từ đầu đến cuối mình vẫn tin zai .,Ủng hộ
22,20,"Ý là từ đầu không thích ông này , nhưng_mà sau drama thì tao có thiện_cảm ít_nhiều .",Ủng hộ
23,13,"Người không bình_luận hay gì hết , im_lặng từ đầu và vẫn tin anh .",Ủng hộ
24,26,"Ngay từ đầu tao đã chọn im_lặng rồi và theo_dõi anh , chưa bao_giờ unfollow . Gu nhìn người của tao vẫn nét lắm .",Ủng hộ
25,11,Vụ này mà liêm_chính thật thì ra đường làm vua luôn .,Trung lập
26,6,Từ khi sinh ra em chỉ nể anh thôi .,Ủng hộ
27,10,Lật kèo được là từ đó em chỉ nể mỗi anh .,Ủng hộ
28,12,"Dáng đẹp quá , xin vía dáng đẹp cho con trai tôi",Không liên quan
29,5,+1 âm_thầm bên_anh,Ủng hộ
30,10,Tôi không phải là fan mà từ đầu tôi vẫn tỉnh_táo .,Trung lập
31,8,"+1 từ đầu đến cuối luôn , phe anh .",Ủng hộ
32,6,Ra_đời em nể mỗi anh .,Ủng hộ
33,14,"Tin anh từ đầu vụ này , bỏ_qua những lời người ta nói .",Ủng hộ
34,4,Mãi ủng_hộ anh .,Ủng hộ
35,6,Đời này em nể mỗi anh .,Ủng hộ
36,5,Tin_tưởng anh từ đầu .,Ủng hộ
37,8,"Sao lại dùng từ "" nếu "" vậy ?",Trung lập
38,13,"Tôi tin anh tôi , luôn đứng về anh Kim_Soo_Hyun .",Ủng hộ
39,7,"Team lý_trí , thực_tế này .",Trung lập
40,13,"Tội anh thật , giờ qua hợp_tác với J 79 . IN thôi .",Ủng hộ
41,5,Ảnh từ đầu nè .,Không liên quan
42,15,"Ê tao thấy Kim_Soo_Hyun sai mà trời , sai đẹp triêu .",Không ủng hộ
43,7,Bao_giờ có phim mới vậy ạ ?,Không liên quan
44,12,"Không thoát fan vì vụ này , nhưng thoát fan vì vụ khác .",Trung lập
45,20,"Mình không phải fan của ai cả , thấy cả hai đều đẹp , thích cả hai , tiếc cho bạn gái đó .",Trung lập
46,20,"liêm_sỉ liêm à , liêm được mỗi vụ bị vu_khống , còn cái mồm cả cái đầu bay_hơi xa .",Không ủng hộ
47,22,"Bên Hàn có quan_tâm đúng_sai đâu , cứ phốt to to tí là ăn đòn , kể_ra cũng ảo ma .",Trung lập
48,22,"Thắng nhưng danh_tiếng không quay lại , nhãn hàng quay lưng , giờ chỉ còn fan trung_thành thôi .",Không ủng hộ
49,6,Có bênh được tao cũng đến ạ .,Không ủng hộ
50,6,Nhớ vụ Johnny_Depp .,Trung lập
51,26,"Ở Việt_Nam mấy cô gặp mấy anh như_vậy là thích lắm , quen rồi chu_cấp cho tụi nó , xong tụi nó nói tình_yêu không quan_trọng tuổi_tác .",Không liên quan
52,3,Anh Liêm mà .,Không liên quan
53,6,Không phải fan cũng biết ông ấy liêm_khiết .,Ủng hộ
54,3,Tôi thích phần sau .,Không liên quan
55,29,"Nhưng ở Hàn_Quốc không cần đúng_sai , chỉ nghe một phía , không cần suy_xét mà đã mặc_định bạn ấy có lỗi .",Ủng hộ
56,32,"Sau những vụ_việc gần đây , đặc_biệt là drama của anh này , mình đã dần hiểu tại_sao Phương_Nhi gả vào nhà bác Vượng lại cần xoá hết mạng xã_hội .",Không liên quan
57,10,Còn tao tin anh từ đầu đến giờ rồi .,Ủng hộ
58,14,"+1 ủng_hộ only one , phản_bác anti từ lúc scandal mới nổ ra",Ủng hộ
59,33,"Ê mọi người có biết phản_ứng của fan Hàn với fan Trung thế_nào không , bên Netizenbuzz_Vtrans toàn thấy bình_luận tiêu_cực thôi , tội_nghiệp ông ấy ghê .",Trung lập
60,15,"Chia_tay rồi là phải "" hết tình nhưng còn nghĩa "" à ?",Trung lập
61,10,Lần đầu nghe được cái drama kỳ_lạ như thế_này .,Trung lập
62,37,"Sao cũng được , chỉ thấy một điều bên Hàn đối_xử bất_công với Kim_Soo_Hyun . Khi muốn kết_tội phạm_nhân , quan_toà phải xem_xét thời_gian mới quyết_định .",Ủng hộ
63,14,Nể mấy đứa tôn_sùng ấu dâm đến Kim_Ji_Won còn sợ .,Không ủng hộ
64,7,Biết ngay bọn SNH ấu dâm mà .,Không liên quan
65,4,Quay xe gắt quá .,Không ủng hộ
66,13,Vừa đọc tin mới thấy bảo bà này có chồng bên nước_ngoài rồi .,Không liên quan
67,12,Kèo này mà lật được thì em nể anh nhất đời .,Trung lập
68,11,"Hên quá hồi đó hóng , không bênh ai .",Trung lập
69,10,Tao bênh ổng từ lúc drama nổ ra đến giờ .,Ủng hộ
70,15,chưa biết có thăng_tiến không chứ giờ ở Hàn vẫn còn bị chửi ấy,Trung lập
71,37,"Không đâu , Hàn_Quốc không dễ như_thế đâu , chỉ cần dính vào bê_bối thôi là các nhãn hàng rút hết ấy . Với_lại chắc không_thể được như lúc trước nữa đâu ạ .",Không ủng hộ
