ID,Comment Text,Token Count,Label
0,"đứa nào chỉ trích Kim soo hyun thì vô ""kênh Tiktok tú luật sư"" coi giùm",20,Ủng hộ
1,xem rồi và thấy hài,5,Không liên quan
2,sao cười bạn dị,4,Không liên quan
3,cầu mấy đứa bênh Kim soo hyun gặp 1 thằng người yêu i chang vậy mới dừa lòng tao,19,Không ủng hộ
4,Nói câu trước đạp câu sau mà tụi nó tin tao cũng quắt đờ heo. Cuối cùng thì người đáng thương là Kim sae ron thôi,28,Không ủng hộ
5,chịu thua ạ,3,Trung lập
6,Mất internet mấy ngày à mà bảo nó dí nợ dậy lên cập nhật đi mày rồi hẵn chỉ trích,21,Trung lập
7,"haha idol của các bạn ý khôn lắm chứ, ai mà đi nhận yêu lúc người ta vị thành niên được, ai mà lại dí nợ trực tiếp dưới danh nghĩa idol. Gia đình người ta nói được gì khi mà sau lưng làm gì có 1 đội ngũ truyền thông như thế. nhãn hàng mà họ thấy mùi thối như thế thì người ta cắt quảng cáo rồi. chứ mà tin vu vơ thì mắc gì họ cắt : các nhãn hàng người ta có quen biết truyền thông người ta có thông tin hết rồi chứ sao bạn nhỉ",109,Không ủng hộ
8,Người chứ phải bò đâu để nó dắt từ bãi này sang bãi khác vậy trời,16,Không ủng hộ
9,hóng chiện nửa mùa,5,Trung lập
10,"trong vụ này tao chỉ thấy vụ nợ là đáng nói thôi á, chia tay đòi nợ bình thường mà 700 triệu won đâu phải là con số nhỏ, người yêu cũ mượn tiền mấy bạn chia tay là mấy bạn cho cả 700 triệu won luôn hả, ừ có nhiêu đâu = . đứng trên lập trường chủ nợ tao thấy bình thường, ông này cũng không bình thường bà này tự sát vì số tiền đó, còn tình cảm thì tao chịu",90,Trung lập
11,Chủ kênh anti Kim soo hyun hả,7,Không ủng hộ
12,"ê thật, nói cập nhật với người ta thắc mắc mà zô toàn bênh Kim Sae Ron với dìm Kim Soo Hyun xuống không",29,Không ủng hộ
13,"nó bênh gia đình Kim sae ron đó c, nó hóng không tới mà nói lắm",18,Không ủng hộ
14,không hùa theo để mình được nổi th coi từ lúc bả đăng về hai người này view và tim bả tăng 1c đáng kể luôn tranh thủ buss tí famee th kk,38,Không ủng hộ
15,đám tang cũng không đi quá tồi,7,Không ủng hộ
16,bà chị ơi hóng thì hóng cho tới nhé chứ lên clip vậy dễ điều hướng dư luận đi lung tung lắm,22,Trung lập
17,Bà chị ơi hình như được minh oan rồi kìa bà phân tích như bà biết hết vậy,18,Trung lập
18,Ê má ban đầu ổng bị nói quan trọng mà tui thấy ổng cũng có sai đâu trời do bà kia die nên người ta thương đâm ra ổng rồi : chớ chia tay lâu rồi mà,37,Ủng hộ
19,"tui cũng thấy d, chuyện tiền bạc chả liên quan tới ảnh mà kể cả có liên quan gì ảnh đòi thì sao? mượn thì trả chứ mấy người mắc cười qa, đằng này là còn bồ cũ",42,Ủng hộ
20,giờ bà mẹ deal được giá rồi đó,9,Không liên quan
21,"mệt quá lúc yêu kêu không quan trọng tuổi tác xong giờ đem tuổi tác ra, mạng xã hội áp lực nên tự sát xong giờ dồn hết lỗi cho oog Kim Soo Hyun, mạng xã hội hàn với Việt hài vãi =",46,Không ủng hộ
22,Trời ơi bây đừng ép chồng tao tao sắp mồ côi chồng rồi,13,Ủng hộ
23,"1 Theo mình nghĩ, mốc thời gian hẹn hò của Kim Soo-Huyn và Kim Se-Ro là sai sự thật. Nhưng, nói một khía cạnh nào khác, việc Kim Soo-Huyn đang nổi tiếng và phủ nhận cái việc hẹn hò năm 2015 là hoàn",57,Trung lập
24,"Nín, nín liền. Người yêu cũ tao mà gặp thì có mà tàn canh gió lạnh với tao, tao tránh còn hơn tránh tà nhé. Ở đó mà cho mượn tiền với chẳng đi đám ma",45,Không ủng hộ
25,Suýt nữa tui cào bàn phím bồ rồi đó,9,Trung lập
26,Bồ cùng fandom engene với mình nè,9,Không liên quan
27,"vì chưa bình thường ai đúng ai sai nên không thể khẳng định kim soo hyun sai được với giờ kim soo-hyun nghèo hả, không tin Kim Sae Ron lúc đó 19 20 tuổi có bằng chứng không mà nói",44,Trung lập
28,Ủa đọc thư có saranghezo chỗ nào vậy má,13,Trung lập
29,Tóm lại bà phe Kim Sae Ron,9,Không ủng hộ
30,"nói chung chỉ tranh thủ chỉ bus tí để nổi lên rồi lúc người ta đưa đủ = chứng á thì chỉ lấy này lấy kia ra làm bia đỡ đạn,rồi quay qa thương hại Kim sae ron nếu thương bả thì đâu có rảnh mà di moi móc mấy cái này.",57,Không ủng hộ
31,"Đứng trên vị trí của bé Kim sae ron thì đáng thương thật, thanh xuân tình đầu, thể xác, trao cho 1 người đàn ông, cuối cùng thì...",37,Không ủng hộ
32,Bạn suy nghĩ giống mình ghê lun,8,Không liên quan
33,trao cho người không xứng đáng lẽ mẻ ở YG có tương lai hơn,14,Không ủng hộ
34,cuối cùng thì vay 7tr won không tính trả ha,11,Không ủng hộ
35,"Công ty đã up data 2 bức ảnh hẹn hò đều từ 2019. Kính mua mắc gì 5 6 năm sau không được saif, chưa kể trên ig của Kim Sae Ron có 1 tấm năm 2020 y chang kiểu tóc ảnh chụp chung kìa",49,Trung lập
36,"tin mới kìa,lên clip đi???",11,Không liên quan
37,mẹ ơi mẹ núp gầm giường người ta hay sao á,11,Không liên quan
38,như biết hết rồi á,5,Trung lập
39,"""sau này cs garasero á, thì tuy là nói tào lao thật, nhưng mà nói chịu làm ts cùng""",27,Trung lập
40,"đã từng yêu con người ta từ lúc cô mới lớn, tài sản thì không nhỏ mà bạn gái cũ đã đi đến đường cùng van xin năn nỉ vẩn không giúp mà tụi fan còn bênh",40,Không ủng hộ
41,+ 1 máy hóng nửa mùa không có liêm sỉ,10,Không ủng hộ
42,bà phân tích như bà biết hết vậy,8,Không liên quan
43,Hình như là Won Bin trả nợ 700 triệu won cho Kim Sae Ron đúng không chị,18,Không liên quan
44,Trả hồi nào công ty tự xoá nợ luôn chứ chưa trả được đồng nào,15,Trung lập
45,Kêu tuổi vị thành niên đúng không vậy kêu công an bắt xemesis liền cho tao,19,Không liên quan
46,"không nha bạn, luật hàn là trên 13 tuổi được yêu rồi nhưng mà hai người này năm 2019 mới yêu=> bà kia 19t rồi",31,Ủng hộ
47,"tiếp đi, tao chưa đủ wow",8,Không liên quan
48,rồi sao Kim sae ron mất vào ngày sinh nhật của Kim soo hyun luôn vậy trời,18,Trung lập
49,mất từ trước nhưng 16/2 mới phát hiện,8,Không liên quan
50,Vụ này cuứ bb3,6,Không liên quan
51,cũng hóng drama nữa he,5,Trung lập
52,Tao có 1 thắc mắc là nhà kia có trả tiền không,13,Trung lập
53,mẻ này là người trong cuộc hã,8,Không liên quan
54,Bên Kim soo hyun đính chính chưa mọi người,9,Trung lập
55,"đính chính rồi nha, bài 10 nghìn chữ có đủ bằng chứng luôn. không như viện garo sero",23,Ủng hộ
56,Bạn coi tin tức đính chính cách đây 2 tiếng chưa ta,12,Trung lập
57,cái áo bị soi ra là năm chỉ đã 19t rồi á bà,14,Trung lập
58,chia tay 4 năm rồi mấy má ơi,8,Không liên quan
59,Thôi thôi thoii. Tao vẫn thấy Kim soo hyun chẳng sai gì cả,15,Ủng hộ
60,? bênh vừa vừa,4,Không ủng hộ
61,muộn liệu chị có trả lời không,7,Không liên quan
62,Em tin anh kim,4,Ủng hộ
63,hóng cho đúng nha trời. phải nghe từ 2 phía nha bà.,15,Trung lập
64,"thật ra thì bả khổ, gia đình cũng không phải tốt gì với bả, từ nhỏ đã phải đi làm nuôi gia đình rồi.",28,Trung lập
65,ghép hình con rắn vô mặt mình thấy cũng giống rồi đó.,13,Không ủng hộ
66,Y chang cái tên,4,Không liên quan
67,thôi đi má,3,Không liên quan
68,Gia đình không có ở bên thì việc nghĩ quẩn là điều không thể tránh khỏi,16,Trung lập
69,chưa đủ wow tiếp di,6,Trung lập
70,Vụ này căng nha,4,Trung lập
71,tiền vào cuộc cũng chưa lật kèo được đâu còn nhiều thứ ẩn khuất chờ ngày được khui,18,Trung lập
72,Chị ngủ rồi mà hay cứ ồn ào quá,9,Không liên quan
73,ê í là chia tay 4 năm rồi tnhien bà mẹ đăng ảnh yêu nhau lên và mượn trả tiền dùm trong khi đã chia tay?,29,Trung lập
74,sớm aaa,3,Không liên quan
75,"Hóng drama mà hóng không tới, lên bài nhanh là hay",15,Trung lập
76,Chịu rồi thế cũng không tìm hiểu chọn lọc nữa,10,Trung lập
77,Trời bênh Kim sae ron chắc ln:,10,Không ủng hộ
78,"thấy xu hướng là điều hướng dư luận luôn, nể",13,Trung lập
79,ảnh mà lật được kèo này ra đời em nể mỗi anh,12,Ủng hộ
80,Khổ thân Kim soo hyun thấy drama này ổng không làm gì sai,13,Ủng hộ
81,chia tay 4 năm rồi còn gì,7,Trung lập
82,Viện gì đó chúng mày nghe từng ủng hộ mĩ đánh việt nam,13,Không liên quan
83,"hóng cho hết đi trời, nghe từ một phía như vậy cũng lên tóm tắt tình hình",20,Trung lập
84,Bữa thấy ảnh “tự sát tại nhà riêng”,11,Không liên quan
85,sớm nè haii,4,Không liên quan
86,ưu điểm thích hóng thích tóm tắt nhược điểm hóng không tới mà thích gào mồm.,17,Không liên quan
87,khổ thân chị Kim Saeron ghê á,8,Ủng hộ
88,Tui thắc mắc chối không hh vài lần rồi dsp tung ra kêu do tuổi nhà gái nên không công khai. Rồi bên đó tung ra từ 19t . Xin cái bằng chứng,38,Trung lập
89,Tui đọc thấy có thuyết âm mưu làm làm to vụ này lên để át cái vụ bên chính trị thả bom gì đó,24,Trung lập
90,tao không chưa hỉu vụ này á mọi người là ổg sai hay ổg đúg vậy,20,Trung lập
91,rồi lên tập với đi trời đất con này nó nói gì tao thấy nó ...,16,Không liên quan
92,"ê tính ra chủ tus ơi, ý là sao lên bài cập nhật chuyện mà toàn đổ qua lỗi kim soo huyn zậy, cái gì Kim soo hyun đúng mà không lên mà toàn lên bài chỉ trích Kim soo hyun vậy trời",49,Ủng hộ
93,Làm vạn hạnh mall đi mom,7,Không liên quan
94,Nghe kim soo hyun mở họp báo chưa trời?,12,Trung lập
95,"từ đầu drama đến giờ chưa thấy Kim Soo Hyun sai chỗ nào , nếu có thì chắc là không đi đám tang của Kim Sae Ron",28,Ủng hộ
96,xem vụ lật kèo của anh kia chưa sao không thấy cập nhật tiếp vậy :,16,Trung lập
97,Cập nhật tin cho tới hôm nay đi bạn,10,Trung lập
98,Ảnh lật kèo rồi bay ơi,6,Không ủng hộ
99,Nói chi nhiều giờ công ty chia cổ phần cho gia đình Kim sae ron là drama này kết thúc liền à.,24,Trung lập
100,Nữa đi tung ảnh nữa đi tao chưa đủ wow í í là tao thấy mấy ảnh tung lên rất bình thường á gió chiều nào theo chiều ấy thoi người ta đáng thương nhất là Kim sae ron thôi,43,Không ủng hộ
101,có ảnh mới bà hóng chưa bà ơi,8,Không liên quan
102,thế lực cỡ nào mà không lên tiếng cha mẹ gì kì zậy,14,Trung lập
103,ngồi hóng kênh thứ 7 không fan ai lúc ra kết quả tao với nói,15,Trung lập
104,Tao thấy đó giờ quậy cũng dừa rồi ..cũng nên dừng lại thôi không thì lại đi hơi xa,20,Không ủng hộ
105,drama này lan man vãi ò,6,Không liên quan
106,bị garosero dắt mũi hả?,8,Trung lập
107,admin có cập nhật cái kênh viện đó thua kiện còn nhiều hơn là số ngày Kim Soo Hyun hẹn hò Kim Sae Ron không nhỉ ?,28,Trung lập
108,nói mà tao tưởng người trong cuộc không á,9,Trung lập
109,chủ tus như năm 2025,5,Không liên quan
110,"Theo tao là tao thấy trong vụ này Kim Sae Ron đáng thương nhất tao chỉ đứng ở phía là suy nghĩ của 1 người con gái khi yêu mà suy ra thôi, Kim Sae Ron yêu ổng nhìu cộng thêm việc có nợ nần các kiểu bị cdm chửi",57,Không ủng hộ
111,Ủng hộ bà,4,Không liên quan
112,Vậy mà mí chuỵ vẫn bênh được mình cũng nể đó,12,Không ủng hộ
113,"cho hỏi ngu xíu, saranghezo là cái gì vậy",15,Không liên quan
114,Lè nha lè nhè,5,Không liên quan
115,Ê lên tiếp đi,4,Không liên quan
116,Là ai đúng vậy??,7,Trung lập
117,tính ra mấy má cư dân mạng cũng như thám tử luôn =,14,Trung lập
118,Hẹn hò mùa COVID vậy những bức ảnh đó chụp vào thời điểm nào vậy mọi người,19,Trung lập
119,Soi thì thôi nhé luôn,5,Không liên quan
120,ê tính ra bả mất rồi mà cũng không được yên nữa ha,13,Trung lập
121,"Mày nghĩ do Kim Sae Ron không muốn tổn thương Kim Soo Hyun nên không lên tiếng, giờ Kim Sae Ron mất rồi nên gia đình mới lên tiếng á",34,Trung lập
122,bình thường ảnh quá phim Nữ Hoàng Nước Mắt bias làm chồng giờ sắp mồ coi chồng luôn rồi,20,Không ủng hộ
123,"tao thấy khổ người đã mất, lôi người ta lên cho bằng được",16,Không ủng hộ
124,+1 người không tin bất cứ phe nào,8,Trung lập
125,cảm ơn bạn.kkk. hóng chuyện mà không rành tiếng Hàn khổ ghê,15,Không liên quan
126,ủa chưa có chấm dứt hợp đồng mà,8,Trung lập
127,Mày biết n sai ở đâu không sai vì là người nổi tiếng đó,14,Không ủng hộ
128,"đi từ hết wow này đến wow khác, tưởng lật mà ai ngờ lật 1 vòng tròn",21,Trung lập
129,Đến cả người trong nghề biết mà có dám đâu nói gì người nhà kim searon,18,Trung lập
130,Không qua được cộng đồng mạng hé,7,Không ủng hộ
131,có bà này hóng khỏe re,8,Không liên quan
132,chưa có đủ wow,5,Trung lập
133,Anti hỏ bạn,5,Không liên quan
134,Prada chưa chấm dứt hợp đồng nhaa,8,Trung lập
135,ê rồi cái dụ Thời Yên là cái gì bây?,13,Không liên quan
136,trả lời em=,4,Không liên quan
137,Kim soo hyun lên tiếng rồi mà,7,Trung lập
138,hết nhận oppa rồi,5,Không ủng hộ
139,thích coi má này,4,Không liên quan
140,"Ê ý là có hóng hớt cho tới chưa vậy? - Thứ nhất: mày kêu thời điểm đó Kim soo hyun quyền lực cỡ nào nên gia đình Kim sae ron mới không dám làm bung bét vụ này. Ủa chứ giờ Kim soo hyun bị đày xuống làm khổ sai rồi hay gì mà gia đình kia mới lên tiếng? Gia đình Kim sae ron ban đầu bóc phốt là do Kim soo hyun ép trả khoản nợ 700 triệu won kia nên cô này mới tự sát, sau đó lại điều hướng dư luận thành Kim soo hyun quen với trẻ vị thành niên? Rồi mày kêu cái kính Kim soo hyun đeo được tặng 2015 thì chứng tỏ 2 người này quen từ thời điểm đó, ủa mắc gì đến năm 2019-2020 không được đeo tiếp vậy?",158,Không ủng hộ
141,"chuyện mệt ghê á riết thấy nó bình thường vãii cái tao cần biết là ổng có quen bả ở tuổi vị thành niên không chứ không phải mấy ảnh thân mật lúc yêu đương của 2 ông bả, mà tao hỏi thiệc nha bộ mình phải có hiểu với người yêu cũ tới cùng hả bay, chuyện của Kim Sae Ron với Kim Soo Hyun với công ty là xong từ 10 tháng trước rồi mà =",83,Trung lập
142,"1.Bức ảnh chụp trước năm 2017 vậy tại sao cái cáo nike lại được xác định sản xuất trong năm 2019 mua áo đến từ tlai à 2.Sao nhìn bức ảnh đó thì xác định được chưa đủ 19t ý là phải giả ngầu ngầu và không được chụp hình kiểu cute thì mới được nói là đủ tuổi à và còn cái kiểu tóckhông lẻ 1 năm đó người ta chỉ có thể để được 1 kiểu tóc với lại việc chuyển từ mái bằng sang mái bay dễ mà,tạo kiểu sấy vô nếp là xongdù gì cái mái bả cũng đâu quá ngắn để không tạo được lại thành mái bay 3. Còn cái kính,không lẻ chỉ được đeo 1 lần duy nhất trong đời,trong 1 năm duy nhất và không được tái dùng lại à Tao không theo phe ai nhưng mà lý lẽ phải thuyết phục hơn nữa người ta mới tin được",175,Trung lập
143,"Tao thấy bên thái có cái vụ năm 2014 Kim soo hyun qua thái fan meeting xong tự nhiên muốn chơi cầu lông, bắt nhân viên phải chuẩn bị sân cho ổng trong khi đó hall đó là để cho fan meet mà nhân viên đã chuẩn bị ghế đầy đủ rồi mà ổng bắt cất đi dọn sân cho ổng chơi á",67,Không ủng hộ
144,Nhanh nhanh làm rõ đi,5,Trung lập
145,Cũng chưa chắc Kim Sae Ron tự sát hay đột quỵ đâu bà ơi vì người nhà Kim Sae Ron không cho khám xét tt nên không bik Kim Sae Ron là vì lý do gì nếu tự sát thì cần gì phải giấu?,50,Trung lập
146,"Ê ý là bà có đọc hết mọi thứ từ 2 bên chưa? 1. Bằng chứng ở đâu cho thấy quen từ lúc 15,16 tuổi 2. Cái thư năm 2018 “saranghe” nằm ở chỗ nào? Mấy cái trang trên phở vừa dịch sai còn thêm mấy đoạn",56,Trung lập
