ID,Comment Text,Label,Token Count
0,"Drama showbiz Hàn đúng là không ai lường trước được ! Chuyện riêng_tư mà bị đào_bới thế_này thì ai mà chịu nổi . Hóng drama thì hóng nhưng đừng quên anh ý vẫn là một diễn_viên tài_năng . Còn cái đám "" anh_hùng bàn_phím "" với "" thánh soi "" thì bớt bớt lại hộ cái !",Ủng hộ,69
1,"Rồi rồi , lại thêm một "" con cừu đen "" bị lôi ra tế thần ! Khổ_thân anh tôi , đẹp_trai cũng là cái tội à ?",Ủng hộ,34
2,"Đúng là anh tôi số hưởng , toàn được các em xinh_đẹp chủ_động thôi .",Ủng hộ,19
3,"Đến chịu với mấy thánh soi_mói ! Anh tôi đóng phim thì lo mà xem đi , hết chuyện hay sao mà xía vào đời tư người ta dữ vậy ? Rảnh quá thì ra đường nhặt rác hộ cái .",Ủng hộ,46
4,"Chuyện showbiz phức_tạp thật , chỉ người trong cuộc mới hiểu . Ai cũng có quá_khứ cả , quan_trọng là hiện_tại và tương_lai thôi . Fighting_Kim_Soo_Hyun !",Ủng hộ,37
5,"Thôi nào mọi người , đừng vội_vàng phán_xét ! Showbiz phức_tạp lắm , chưa biết ai đúng ai sai đâu . Ủng_hộ anh_Soo_Hyun vượt qua giai_đoạn khó_khăn này . Fighting !",Ủng hộ,45
6,"Đọc xong chỉ thấy thương anh tôi , sống mà cứ như đóng phim trinh_thám vậy .",Ủng hộ,20
7,"Thôi đi mấy má ơi , người ta là Kim_Soo_Hyun đó , bớt soi_mói lại dùm cái ! Anh tôi đóng phim đỉnh thế còn chưa đủ à ? Để yên cho người ta thở đi !",Ủng hộ,42
8,"Mấy người rảnh quá , để anh_Soo_Hyun người ta yên đi ! Chắc gì thông_tin kia đã là sự_thật . Tin_Dispatch thì ăn_cám à ?",Ủng hộ,31
9,"Rồi rồi , hiểu mà , chuyện riêng_tư người ta soi_mói làm gì . Quan_trọng anh vẫn đỉnh trên phim là được !",Ủng hộ,29
10,"Drama nhiều quá , thôi_thì cứ ủng_hộ diễn_xuất đỉnh_cao của Kim_Soo_Hyun đã . Mấy chuyện khác để người ta tự giải_quyết .",Ủng hộ,31
11,"Thuyền chìm thì vẫn còn thuyền_viên , ủng_hộ anh_Soo_Hyun vực lại sự_nghiệp . Đời tư của nghệ_sĩ có cần phải soi_mói đến thế không ?",Ủng hộ,34
12,"Drama nhiều như phim , nhưng vẫn tin anh tôi ! Hóng phim mới hơn là hóng phốt .",Ủng hộ,22
13,"Ủa rồi sao , hoàng_tử thì cũng là người mà . Cứ để anh tôi yên đi có được không ? Drama riết rồi chán .",Ủng hộ,30
14,"Ủng_hộ ai , bênh_vực ai thì đợi kết_luận cuối_cùng rồi tính . Đừng vội_vàng ném đá anh tôi ! Showbiz mà , có gì không_thể xảy ra đâu .",Ủng hộ,37
