ID,Comment Text,Label,Token Count
0,"Tội người tài , đúng là làm gì cũng bị soi , rồi sau_này sao có ai dám dính vào nghiệp diễn_viên nữa để còn đem tài cho thiên_hạ đâyyyy huhu .",Ủng hộ,42
1,Bao_lâu mới thấy anh_Soo_Hyun đóng phim mới vậy ? Có người bịa chuyện là cơ_hội hay sao ? Sủng bạn vẫn vậy thôi .,Ủng hộ,30
2,"Ôi , dạo này mấy người lại thích drama ấy nhỉ ? Cơ_mà xem góc_độ đạo_đức thì có_thể khác , nhưng nếu nói về yếu_tố truyền_miệng và danh_tiếng thì … Anh Kim_Soo_Hyun cứ yên_tâm oanh_tạc thôi ! Fan vẫn luôn ở đây nhé , anh đóng phim hay thế cơ_mà , nói_chung cái tên quen_mặt đã ăn vào tiềm_thức rồi . # kimsoohyun",Ủng hộ,87
3,Ông chú vẫn phong_độ ngời_ngời ! Kệ lũ drama đi làm thêm đi nhé các má !,Ủng hộ,21
4,"Eo , tin ai ? Tin trai tài thôi chứ ai thèm quan_tâm mấy "" ngoạ thư long phượng "" ngoài kia :",Ủng hộ,29
5,Sau drama đến nay em biết tin anh ở đâu có_mặt là auto xin vé : Lo mà chuẩn_bị dự_án bùng nà anh ơi,Ủng hộ,28
6,"Thật_sự khó tin những gì anh ấy phải đối_mặt gần đây . Dù thế_nào , anh là một diễn Kim_Sung của thế_giới rồi còn gì ! Sóng_gió này tôi tin chỉ làm anh thêm toả sáng .",Ủng hộ,46
7,Thật tiếc khi thấy chuyện này . Công_ty hành_xử không đẹp xíu nào nha . Chắc Soohyun vẫn chất đến mức mọi người cứ túm vào mới ghê . Tao yêu chú < 3 Yêu style dứt_khoát rồi né_tránh những câu lằng_nhằng,Ủng hộ,49
8,"Ngôi_sao mà , sóng_gió showbiz thiếu_gì ... Mấy "" giếng "" kia vẫn còn phải cảm_ơn Kim mà kéo fame giùm í chứ . Kim_Soo_Hyun đỉnh !",Ủng hộ,38
9,"Tôi thấy anh rất ngầu đấy chứ , ở trong showbiz thì tai_bay_vạ_gió là thường thôi ạ . Cứ tiếp_tục những con đường anh đã chọn nhé idol !",Ủng hộ,34
10,"Ông anh làm phim chất thật , cứ để mấy chuyện vặt_vãnh lo hộ , tập_trung mà ra "" Queen of Tears "" phần twoooooo",Ủng hộ,34
11,Ôi giời ! Tội_anh Hyun ghê . Kệ thiên_hạ muốn nói_gì_thì nói chứ đã có ai chịu nghe anh giải_thích đầy_đủ đâu . Sẵn_sàng là một Fan trung_thành dài_lâu luôn,Ủng hộ,40
12,"Ôi_thôi , làm_sao tui tin mấy cái tin ba xàm trên mạng cho được . _Anh Hyun vẫn đỉnh mà cần gì phải bon_chen scandal vô_duyên vậy chời ! Khổ_thân , lại bị lợi_dụng rồi .",Ủng hộ,48
13,"Xem_ra cũng hiểu được phần_nào áp_lực của anh , thôi_thì cố mà vượt qua đi nhé !",Ủng hộ,22
14,"Ôi trời , drama Hàn kiểu này , chê một thì tiếc ba , Kim_Soo_Hyun cũng có chút vận đen nhỉ . Mong mọi chuyện sớm sáng_tỏ .",Ủng hộ,34
15,"Thích cách anh nhà ứng_xử dứt_khoát , sống sai thì thị_trường trả_giá thôi ai cũng vậy_mà . Mong mọi việc sẽ nhanh_chóng qua đi để ngắm anh trên màn_ảnh .",Ủng hộ,38
16,"Chả hiểu gì đến đây , chắc anh_em dọn mâm ăn giỗ tốn_kém đây . Khổ . Thôi_thì mong ông đừng để nhà_báo nó dắt_mũi nữa là được !",Ủng hộ,35
17,"_Soo_Hyun oppa đỉnh của chóp nhá . Ai làm idol mà không có va_chạm chút Drama như cơn gió thoảng qua thôi mà , lên phim luôn !",Ủng hộ,35
18,"Anh_em , mấy người nhớ lúc đóng "" Điên_Thì Có_Sao "" không ? Xém chút là thành đôi thật rồi còn gì= Cơ_mà giờ tình_cảnh này ... tôi lại thấy thương_anh Hyun ghê , chắc_hẳn là giai_đoạn anh cần ủng_hộ nhất . Bàn_dân_thiên_hạ chỉ nhìn bề nổi nhỉ ? Hãy để thời thời_gian chứng_minh nhé !",Ủng hộ,77
19,"Ôi giời , người ta làm_ăn còn khó hơn mình . Đang yên đang lại thành "" người_dưng khác họ ” mới đau chớ ! Cắt vài cái hợp_đồng vậy chứ chả ảnh_hưởng gì tầm_cỡ quốc_dân như anh đâu hahaha . Cứ diễn tiếp phim mới cho dân_tình còn có "" cái "" xem đó .",Ủng hộ,68
20,"Sau bao_nhiêu biến_cố , tôi chắc rằng anh ấy cần một kỳ nghỉ để trấn_tĩnh thôi chứ giờ thì drama này sắp quên lạnh rồi . Ai rồi cũng phải bước tiếp thôi và cần sự chuyên_nghiệp ủng_hộ từ anh .",Ủng hộ,47
21,""" Tui thấy_anh Hyun đỉnh sẵn rồi mà , drama vừa thêm độ phủ_sóng thôi ýyy """,Ủng hộ,21
22,"Chà , giờ tung tin gì hot vại ? Kim_soo hyun phong_độ vẫn đấy nhỉ , lại có phim hay để hóng thôi . Quan_trọng là gu mình vẫn cứ là của anh : joy : , diễn_xuất đỉnh mà ai làm gì được nhau = ] ] mình cứ thích diễn_viên "" gê gớm "" mới ra_trò á . Tiếc chuyện xích mít này thôi chứ mấy chuyện bộc_phát nghệ_sĩ vẫn cuốn_hút mình hơn :",Ủng hộ,91
23,"Ai cũng có một quá_khứ nhỉ ? Quan_trọng là tương_lai chất_lượng thế_nào thôi . # KimSooHyun_Tiếp tục cháy hết_mình trên màn_ảnh nhé anh ơi ! "" Khéo che , lại khéo bày , ... ai_lại tin một đám ' tay_ngang rảnh chuyện . ' "" Anh KimSoH vẫn vậy , đỉnh !",Ủng hộ,72
24,Cứ coi như anh đẹp đã lỡ vướng lưới một người có chút sai_sót trong quá_khứ thôi . Càn_quét showbiz thế_này chắc đủ gây ấn_tượng đó ! Fan vẫn yêu_thương nha,Ủng hộ,38
25,Người đàn_ông này chắc bị cả drama đổ xuống đầu vậy ? Khổ_thân . Nhắn_tin Telegram với ai chẳng được ? Lần này thì xác_định .,Ủng hộ,33
26,"Ôi_thôi , "" tổng_tài "" quốc_dân của tui phải vượt bao_nhiêu thử_thách mới trụ vững . Đói con tôm ăn con tép , mình xem phim là chính nha , chuyện của họ sao quản ... thôi cứ thích mê mấy phim_ảnh đã đóng",Ủng hộ,54
27,"Ủng_hộ anh cứ chill đi , bão nào rồi cũng tan thôi mà . Nghèo tựa Kim_Sae_Ron vậy ai cũng lôi đầu_ra moi , thế mới thấy showbiz khắc_nghiệt cỡ nào",Ủng hộ,40
28,"Anh đã đẹp_trai lại còn đào_hoa kiểu đấy thì ai mà chịu nổi . Cơ_mà dù_sao scandal vẫn là scandal , tôi vẫn hóng ảnh tái_xuất thôi í !",Ủng hộ,36
29,"Ôi , mấy người lôi_thôi , anh Kiên nhà tui phong_thái vẫn chất_ngất giữa tâm_bão . Cái gì đã qua , đã phai , mấy cha_nội cứ xào_nấu lại . Kim_Soo_Hyun mãi đỉnh nha .",Ủng hộ,46
30,"Kim_Soo_Hyun đỉnh_cao diễn_xuất còn gì , scandal này chỉ là muỗi đốt inox thôi ! Tiếc thay cho bọn ăn_theo không có cửa . Anh vẫn luôn cháy hết_mình trên mọi concept !",Ủng hộ,43
31,"Ủa thì có ai điều_tra sâu hơn rồi chứng_minh anh là tội_phạm đâu mà nhãn hàng còn ngạichạy trước rồi nhỉ . Hay anh giỏi quá , người ta ghen_ăn_tức_ở , chơi lại . Đang đợi xem phim mới_đây này .",Ủng hộ,53
32,"Dù anh đã từng nói sai sự_thật tôi vẫn cứ thích nhìn cái mặt đó của anh , đóng vai ác còn được . Không thích mấy người đạo_đức giả đâu .",Ủng hộ,34
